title,date_published,news_outlet,authors,text
Trump Keeps Claiming That the Jerusalem Embassy Will Bring Peace,2018-05-14,TheAtlantic,['Michael Koplow'],"Moving the United States embassy in Israel from Tel Aviv to Jerusalem, as President Trump did on Monday, constitutes a momentous show of support and friendship to Israelis. It is a recognition of the importance that Jews have attached to Jerusalem for millennia. It grants Israel the same legitimacy to establish its own capital that is taken as a given by every other country in the world. It is a worthy policy initiative in its own right, and should have been done decades ago.Moving the embassy is not, however, a policy that will break the Israeli-Palestinian impasse, make it easier for the U.S. to mediate between the two sides, or bring peace any closer. In fact, the manner in which the embassy move was announced and implemented pushes all these things much farther away—a reality that was underscored when Israeli forces killed dozens of Palestinians in Gaza, during the penultimate day of a weeks-long demonstration there, even as the embassy dedication was happening.It was jarring to behold, while all this blood was being shed, the emphasis on peace at the embassy dedication: Israeli singer Hagit Yaso performed “Od Yavo Shalom Aleinu” (“Peace Will Come To Us”). U.S. Ambassador David Friedman extolled the virtues of peace between Israel and the Palestinians. And Trump’s son-in-law and adviser Jared Kushner said, “We will look back on this day” and remember that “the journey to peace started with a strong America recognizing the truth.” Clearly, Trump and his administration are refusing to own up to the real consequences that his decision will have on the Israeli-Palestinian conflict. But dissembling about the true costs of moving the embassy will only complicate American policy in the region."
We’ve Never Seen Anything Like the Menendez Indictment,2023-10-26,TheAtlantic,['Casey Michel'],"Even before Bob Menendez waschargedearlier this month with conspiring to act as a foreign agent, dozens of his fellow Democrats were calling on him to resign. Prosecutors say Menendez used his political office to influence American policy at the behest of the Egyptian government. He remains a senator—for now—but the latest indictment, coming aftercorruption charges last month, further complicates his fate. Last week, Menendez, who has pleaded not guilty to all counts, missed an all-senators classified hearing on Israel—no small indignity for a former chair of the Foreign Relations Committee.According to theindictment, the senator from New Jersey passed along sensitive information to Egypt, acted as a ghostwriter for its officials, and accepted “hundreds of thousands of dollars of bribes.” While researchingmy next book, a history of the foreign-lobbying industry in the United States, I didn’t come across anything quite like these allegations. They appear to be the first time that an elected federal official has been formally accused of acting as an agent of a foreign government."
How I Lost the Russia That Never Was,2023-11-24,TheAtlantic,['Anna Nemtsova'],"Updated at 9:31 p.m. ET on November 25, 2023.The lack of respectfor the deadsurprised even a soldier with the Wagner Group, Russia’s mercenary legion of former convicts that fought some of the bloodiest battles in the invasion of Ukraine. He looked at an ugly heap of wooden crosses and flower wreaths that had been pushed aside and cursed the authorities.“What are you doing? They died for Russia, and you are razing their graves to the ground. You are rolling over them,”he saidin a video shot at the time, pointing at the wreckage.Workers were pouring concrete over a Wagner cemetery near the southern Russian city of Samara on August 24, part of Moscow’s punishment for the private army’s one-day mutiny in June. Not many in Russia noticed the soldier’s distress. Layers of injustice and mass killings go so far and so deep into Russia’s history that most of us have lost track. In Ukraine, the Russian army often leaves its dead soldiers behind."
"Photos of the Week: Japanese Princess, Steam Power, Knife Angel",,TheAtlantic,['Alan Taylor'],
How Rand Paul Misconstrues the Fourteenth Amendment,2015-09-24,TheAtlantic,['Garrett Epps'],"Last year,Timechristened Rand Paul “the most interesting man in American politics.” I suppose that’s true, if youconsider Floyd the Barberthe most interesting man in Mayberry. Like Floyd, Paul always seems to be gazing at some fabulous landscape no one else can see; like Floyd, he is given to non-responsive pronouncements that don’t always make sense to ordinary mortals.That propensity was on display in last week’s Republican debate, in which Paul managed to attach himself to Donald Trump’s assault on the bedrock Fourteenth Amendment principle of birthright citizenship. In the wake of Trump’s claim that only “television scholars” uphold that principle, Paul interjected the following:This statement contains one half-truth (at best) and one statement that, though vaguely phrased, seems flatly false. The half-truth concerns the case ofWong Kim Ark v. United States,in which the Supreme Court considered the citizenship clause and concluded that the words—“all persons born or naturalized in the United States and subject to the jurisdiction thereof, are citizens of the United States and of the state wherein they reside”—mean that an American born in the U.S. of Chinese parents was a U.S. citizen, even though, under the law at the time, the parents were not and could never become citizens themselves.Critics of birthright citizenship focus onWong Kim Arkas if it were the source of the doctrine. They are eager to find a hole—any hole—in its holding. Hence the claim that the case reserved the issue of children of “those who are here illegally.”Politifact investigated Paul’s claim aboutWong Kim Arklate last week, and rated it “Mostly True.” And it is true, in the following sense. InWong Kim Ark,the Court said that Wong, an adult-male child of Chinese immigrants legally present, was a citizen. It didn’t specifically state that an adult-male child of, say, Mexican immigrants legally present was a citizen. It did not state that an adult female child of immigrants lawfully present was a citizen. It did not state that a gay or lesbian child of immigrants was a citizen. It also didn’t discuss whether a small gray alien in a disk-shaped spacecraft would have citizen children. It said nothing about “green cards,” which didn’t exist. It did say this:"
Can Germany Resist the Trump Disease?,2023-10-25,TheAtlantic,['David Frum'],"Israeli flags. Guitar music. Bicycles. Strollers, dogs, and thick sweaters. Here at the Brandenburg Gate on a sunny October Sunday, 20,000 people gathered, united by the ideals of the modern German state. The German president spoke. The Israeli ambassador spoke. The father of two kidnapped daughters spoke. The audience listened attentively.Then, when it was all over, those traveling by subway removed their kippah, put away their Stars of David. The police cannot be everywhere at once, and so they protectively advise Berliners not to display symbols of Judaism.Some days earlier, on October 18, two peoplethrewincendiary devices at a synagogue in central Berlin. This followed a week of clashes between police and protesters in a heavily Muslim section of the city, Neukölln. Earlier this month, the German magazineDer Spiegelpublished an interviewwith Güner Balci, the integration commissioner for the district, who was born in Neukölln, the child of Turkish immigrants. The dialogue, in a question-and-answer format, included this section:"
The Reckoning,2023-10-10,TheAtlantic,['Yossi Klein Halevi'],"On April 22, 1979, four Palestinian terrorists set out from southern Lebanon on a rubber dinghy and landed on the Israeli coast, near the northern town of Nahariya. They proceeded to an apartment building, breaking through the front door of the Haran family. Inside, they seized Danny Haran and his 4-year-old daughter, Einat. Meanwhile Danny’s wife, Smadar, hid in the attic with her 2-year-old daughter, Yael.The terrorists took their two hostages to the beach, where they shot Danny and smashed Einat’s skull against a rock. Back in the attic, Smadar, attempting to quiet Yael, accidentally smothered her to death.Of all the Palestinian terror attacks of the era, none had as great an impact on the generation of Israelis that came of age around the 1973 Yom Kippur War as the destruction of the Haran family. The fate of the Harans hit so hard in part because the ultimate Israeli nightmare is helplessness. Zionism promised to empower the Jews; the Haran family’s fate belonged to Eastern Europe, not the Jewish state."
End the Misuse of Holocaust History,2017-04-14,TheAtlantic,['Deborah Lipstadt'],"With apologies to Mel Brooks, it’s springtime for Hitler and Nazi Germany.Comparisons to the Third Reich are blooming. History is being instrumentalized and mangled. More than wrong, it is dangerous.The past week alone brought three examples. White House Press Secretary Sean Spicer has been universally ridiculed for saying that Assad was worse than Hitler because even Hitler did not use chemical weapons on “his own people.” A sympathetic reporter tried to throw him a lifeline. Ignoring it, he dug himself in deeper with a reference to “Holocaust centers” and the assertion that Hitler did not strike “innocent” victims. To his credit, he later apologized. Repeatedly.Spicer’s inept historical analogies may have attracted the most media attention in the United States, but they hardly constituted the worst recent such transgression. Ken Livingstone, the former mayor of London and a long term Labour party stalwart, engaged in a far more premeditated attempt to manipulate World War II history. For the third time in a year, he repeated his claim that Zionists and Nazis engaged in “real collaboration” in the 1930s. According Livingstone, the Nazis did the Zionists’ bidding, including forcing rabbis to stop giving sermons in Yiddish, setting up training camps for Jews who wanted to go to Israel, and selling them arms.Livingstone’s claims so lack any historical accuracy that one is loath to refute them. (Would we ask a scientist to refute claims that the earth is flat?) He has spun this historical fantasy on the back of theHa’avara agreement, made between the Nazis and German Zionists in August 1933. German Jews were prevented by Nazi regulations from taking their savings out of Germany. Under the agreement, the Palestinian Jewish community bought German agricultural equipment with some of the blocked funds. Jews who came to Palestine from Germany were able to claw back a portion of their funds upon arrival. This agreement generated controversy among Jews and some Nazis. The former were trying to organize a boycott of German goods, which this agreement contravened. The latter disliked anything that helped Jews. To call it collaboration or to say it proves Hitler was a Zionist, though, stretches those terms beyond any meaning.Livingstone’s attempt to rewrite history has a contemporary political purpose. He is trying to draw a direct line between Nazism and Zionism by equating the two, to claim that today’s supporters of Israel are heirs to the Nazis. Israel becomes more than a place to compensate Jews for their suffering. It becomes a place that flourished thanks to their suffering.But Livingstone was not alone in his revisionism. Marine Le Pen, leader of the far-right French National Front, who stands a chance of winning the presidency in the forthcoming elections, contended thatFrance bore no responsibility for the Val d’Hivroundup of 13,000 Jews in the summer of 1942. The Jews were held for days in searing heat and horrific conditions—little food, water, or facilities—until they were deported. Most ended up in Auschwitz, where they were gassed."
How Did the 'Secret' Sykes-Picot Agreement Become Public?,2016-05-16,TheAtlantic,['David A. Graham'],"Monday marks the 100 years since the signing of the Sykes-Picot Agreement, the secret Anglo-French pact reached during the First World War that proposed splitting the Middle East up into zones of foreign control. The Middle East has been frequently afflicted with war since then, but the situation now—with ISIS holding territory in Iraq and across the Fertile Crescent, civil war in Syria, government paralysis in Lebanon, growing autocracy and violence in Turkey, and talk of an intifada in Israel and the occupied territories—has inspired particular debate on the century-old agreement’s legacy. Laments about Sykes-Picot drewarbitrary divisionsthat bedevil the Middle East even now have met withjust-as-impassioned insistencethat the secret agreement’s influence is overstated.But wait a second:secretagreement? How did a confidential document become a hotly contested matter of the public record not long after it was signed? The answer is a tale of intrigue that serves as a reminder of how unstable closed-door diplomacy is, and how fast quiet handshakes can cause public backlash, even in the age before Wikileaks.The agreement was negotiated, on the British side, by Mark Sykes, an aristocrat and soldier. A veteran of the Boer War and member of Parliament, he was plucked from the reserves—and saved from the front lines—by Lord Kitchener, the secretary of war, at the start of World War I and became a leading Middle East hand. He barely outlived the war: Sykes died of Spanish influenza in February 1919 while attending the Paris Peace Conference that would formalize the terms of the settlement. François Georges-Picot, who negotiated on behalf of the French, was somewhat older, a career diplomat who had been stationed in Beirut and Cairo."
The Republicans Have No Majority,2023-11-14,TheAtlantic,['Russell Berman'],"Mike Johnson now knows what Kevin McCarthy was dealing with.At the new speaker’s behest, House Republicans today relied on Democratic votes to avert a government shutdown by passing legislation that contains neither budget cuts nor conservative policy priorities. The bill was a near replica of thefunding measurethat McCarthy pushed through the House earlier this fall—a supposed surrender to Democrats that prompted hard-liners in his party totoss himfrom the speakership.Johnson is unlikely to suffer the same fate, at least not yet. But today’s vote laid bare a reality that’s become ever more apparent over the past year: Republicans may hold more seats than Democrats, but they don’t control the House.Under McCarthy and now Johnson, Republicans have been unable to pass just about any important legislation without significant help from Democrats. The three most consequential votes this year have been the spring budget deal thatpreventeda catastrophic U.S. debt default, September’s stopgap spending bill that averted a shutdown, and today’s proposal that keeps the government funded through early 2024. More Democrats than Republicans have voted for all three measures."
"Building a Fair-Trade Fashion Line Out of ‘Pride, Not Pity’",2017-06-29,TheAtlantic,['Elisha Brown'],"In a world of fast fashion,sustainable-fashionbrands tout their dedication to transparent and ethical production. While goods from these companies can be expensive, the goal is to pay producers a living wage while creating fashionable, high-quality clothing.As resistance to fast fashion was picking up, Harper Poe graduated from college and started a day job that didn’t inspire her. She quit, and with a friend went on to found Proud Mary Global Textiles, a company that sells fair-trade accessories, home goods, and clothing. She partners with artisans in countries such as Mali and Mexico known for quality handcrafts. Before Poe launched Proud Mary’s first collection in 2008, she had no real experience in the field, aside from working briefly in interior design. She says that she’s sought out guidance along the way that’s helped her balance her company’s mission with its bottom line.ForThe Atlantic’s series on mentorship, “On the Shoulder of Giants,” I spoke with the Charleston, South Carolina-based designer about the promise and pitfalls of social entrepreneurship, as well as how she patterned her winding career path on an admired mentor’s. The conversation that follows has been edited for length and clarity."
Trump’s Only Iran Strategy Is to Punish Iran,2018-05-19,TheAtlantic,['Jake Sullivan'],"After Donald Trump’s announcement last week that the United States was walking away from the Iran nuclear deal, two State Department officials held a background briefing to explain the strategy. The transcriptis a painful read. From start to finish, the unnamed officials struggled to answer the most basic questions about the purpose of reimposing sanctions on Iran, what they expected to achieve, which allies they had consulted, and so on. Every time a reporter tried to pin them down on the core question—now that you’ve junked the deal, what comes next?— they mumbled and evaded.This past Friday, reporters tried again, on another conference call with a senior State Department official. They pressed him for specifics on what exactly the plan will be going forward. The most he would offer was that the United States would bring “all necessary pressure to bear on Iran to change its behavior and to pursue a new framework that can resolve our concerns.” It is hard to get less specific than that.This is not because these officials are uninformed or unintelligent. And it is not because key figures in the administration, like National-Security Adviser John Bolton, haven’t given it some thought. My guess is it is because, for some reason, they did not feel comfortable sharing the real answer,which is this: The punishmentisthe strategy. The United States will now apply the means of more economic pressure to achieve the end of Iran feeling more economic pressure.In theory, sanctions should have a specific purpose. We impose them in response to certain behavior by another country, and offer to lift them in exchange for specified changes in that behavior. In other words, sanctions create leverage, which is then converted into concessions at the negotiating table. That was the story of the Iran nuclear deal, which I helped negotiate, including by opening the secret back channel with Iran that jump-started the diplomacy.Advocates of a more aggressive Iran policy, both inside and outside the administration, view sanctions differently. They seem to feel they don’t need to give more-specific answers as to what exactly sanctions are intended to achieve, because from their perspective, whatever is achieved is better than the status quo. Maybe with sufficient pressure, the regime will collapse. That would be their ideal outcome, and it’s what John Bolton was referring to recently when he said, “Iran’s economic condition is really quite shaky, so that the effect [of reimposing sanctions] could be dramatic.” But maybe not—maybe sanctions will just leave the regime weakened and demoralized and inwardly focused.That would be good, too. But maybe not—maybe the regime will just have less disposable income to spend on regional adventurism and therefore reduce its activities in places like Syria and Yemen. That’s not bad. But maybe not—maybe sanctions will simply make it harder for Iran to become stronger, an economic version of containment. Even that will do."
Rashida Tlaib Has Her History Wrong,2019-05-14,TheAtlantic,['Benny Morris'],
How the Movement for Black Lives Turned Against Israel,2016-08-18,TheAtlantic,['Emma Green'],"Last Thursday, the Movement for Black Lives got together for an emergency conference call. One week after the drafting committee released its political platform—a long document that covers everything from U.S. policing to education reform to mass incarceration—the activists felt they needed another “deep internal discussion,” as they called it, on one small section toward the end: their statement on Israel and Palestine.Of all the positions included in the platform, this is the one that has generated the most backlash. The conflict is largely one of language: Jewish groups have been most upset about its use of the wordsgenocideandapartheidto describe Israel’s actions against the Palestinians,describingthe terms as “offensive and odious.” Some progressive, social-justice-oriented organizations have condemned the statements in part; others have condemned the movement in full. Church groups haverepudiatedit. Jews of color havestruggledwith it. In the wake of what should have been a powerful moment, black activists have found themselves at odds with the one group that may have been most ready to support them as allies.But this is also a conflict of history. Jews and blacks in America have long danced around one another, at times feeling solidarity and at others, opposition. Both groups have developed a self-understanding rooted in a history of oppression and struggle, often in solidarity with others in need. Their clash on Israel may be a testament to how much U.S. views have changed on this issue, or how much Israel’s self-vision has changed since 1948. But it’s also a sign of how thoroughly elements of these groups have become alienated from one another—hoping for justice, but hearing different things when they try to speak its language.It’s not clear what the Movement for Black Lives will do about the backlash against this part of its platform, if anything. An informal spokesperson for the drafting committee, Zakiya Scott, declined interviews, saying, “Folks have been getting a lot of criticism for the divest/invest piece of the platform. Before we say anything as a group, it has to be agreed upon by the members of the leadership team and the endorsing organizations.”On every side, the clash over language and history in the Movement for Black Lives platform is a story of loss. Relationships have been damaged, and political momentum lost. And the hope of liberation, cherished by black and Jewish Americans alike, has been cut with resentment."
Donald Trump’s Gift to Adam Schiff,2023-11-06,TheAtlantic,['Mark Leibovich'],"This article was featured in One Story to Read Today, a newsletter in which our editors recommend a single must-read fromThe Atlantic, Monday through Friday.Sign up for it here.Representative Adam Schiffwas mingling his way through a friendly crowd at a Democratic barbecue when the hecklers arrived—by boat. Schiff and two other Senate candidates, Representatives Katie Porter and Barbara Lee, convened on the back patio of a country club overlooking the port of Stockton, California. Schiff spoke first. “It’s such a beautiful evening,” he said, thanking the host, local Democratic Representative Josh Harder.It was hard to know what to make of the protest vessel, except that its seven passengers were yelling things as Schiff began his remarks. And not nice things. Although their words were tough to decipher, the flag flying over the craft made clear where they were coming from:FUCK BIDEN. Notably, of the three candidates, Schiff was the only one I heard singled out by name—or, in one case, by a Donald Trump–inspired epithet (“Shifty”) and, in another, a four-letter profanity similar to the congressman’s surname (clever!)."
The Six-Day War Was a Step Backward for Zionism,2017-06-06,TheAtlantic,['Michael Koplow'],"Israel’s victory in the 1967 Six-Day War and its resulting military occupation of the West Bank and its Palestinian residents transformed the Jewish state, providing it with both a measure of security it had not enjoyed and the responsibility of governing a people it did not want. It also transformed Zionism—from an ideology of pragmatism and activism into an ideology of utopianism and passivity.The stunning defeat of Egypt, Syria, and Jordan, and the sudden expansion of the territory under Israel’s control was ironically a step backward for Zionism, and it has struggled ever since to reconcile its core philosophy with the set of circumstances that has reigned for the past half century. The 50th anniversary of the Six-Day War is an opportunity not only to examine Israel’s past and future trajectory, but also to refashion a more pragmatic Zionism for the next 50 years.Zionism has always had different strains, from the secular Zionism that predominated in the early years of the movement to the religious Zionism that surged following the Six-Day War. Theodor Herzl’s Zionist vision was the very definition of a utopian fantasy that seemed unachievable: a homeland for a persecuted nation scattered across the globe in a place from which they had been exiled millennia before. That this vision actually came to pass was truly miraculous, but its implementation was anything but a dream. The early Zionists who settled Palestine did not arrive to a Jewish state or even to Jewish self-determination; they arrived to a land controlled first by the Ottomans and then by the British, with little infrastructure or natural resources, and populated by frequently hostile neighbors.When Israel was born half a century after the first Zionist Congress had called for a Jewish home in Palestine, it emerged directly into a war with its neighbors that resulted inone percentof the new country’s population being killed in the fighting to prevent the new state from being stillborn. The first 19 years of Israel’s existence were marked by struggles to create a viable economy, fend off attacks from the Arab countries surrounding the Jewish state, establish diplomatic ties with the world, and absorb hundreds of thousands of penniless immigrants and refugees.This was certainly not the fulfillment of Herzl’s utopian vision, laid out inAltneuland, of a prosperous country and harmonious society. But it was the fulfillment of the Zionist essence: Jewish self-determination in the Jewish homeland. That the boundaries of the state in that homeland were limited and that the state was beset by true existential threats presented daily problems for Israel’s governance, but they did not present a threat to Zionism itself. Zionism had become a quest not for the perfect but for the possible, and it was this pragmatism and focus on a single core idea that made Zionism the rare 20th-century ideology that actually delivered on its promise and survived the crucible of wars, upheavals, and Cold War struggles."
